instance,votes,candidates,trivial,reductions,hull_val,hull_time,hull++_val,hull++_time,TMC_val,TMC_time,valtr_val,valtr_time,QCP_val,QCP_time,IR_val,IR_time
../PrefLib-Data/datasets/00053 - f1races/00053-00000083.soc,38,16,None,,False,0.000707196071743965,False,0.00074484758079052,False,0.0627215001732111,False,0.0349569711834192,None,None,False,0.108593778684735
../PrefLib-Data/datasets/00053 - f1races/00053-00000084.soc,41,14,None,,False,0.0227942168712616,False,0.0234578009694815,False,0.0859440993517637,False,0.0194119550287724,None,None,False,3.92658620141447
../PrefLib-Data/datasets/00053 - f1races/00053-00000085.soc,31,14,None,,False,0.000590967014431953,False,0.000556843355298042,False,0.178510554134846,False,0.0576154850423336,None,None,False,0.10117462836206
../PrefLib-Data/datasets/00053 - f1races/00053-00000086.soc,38,16,None,,False,0.000753633677959442,False,0.000754686072468758,False,0.185929851606488,False,0.0432358309626579,None,None,False,8.76785668171942
../PrefLib-Data/datasets/00053 - f1races/00053-00000087.soc,57,16,None,,False,0.000886466354131699,False,0.000839546322822571,False,0.0139144957065582,False,0.232373375445604,None,None,False,0.914575714617968
../PrefLib-Data/datasets/00053 - f1races/00053-00000088.soc,38,13,None,,False,0.000504523515701294,False,0.000470908358693123,False,0.151521710678935,False,0.00986053608357906,None,None,False,1.9285784214735
../PrefLib-Data/datasets/00053 - f1races/00053-00000089.soc,29,20,None,,False,0.00618323497474194,False,0.00615414045751095,False,0.377336008474231,False,0.264643765985966,None,None,False,0.727775106206536
../PrefLib-Data/datasets/00053 - f1races/00053-00000090.soc,52,19,None,,False,0.00110391713678837,False,0.00111731328070164,False,0.636306183412671,False,0.559408534318209,None,None,False,1.09457312524319
../PrefLib-Data/datasets/00053 - f1races/00053-00000091.soc,34,11,None,,False,0.000426707789301872,False,0.000414382666349411,False,0.00668775849044323,False,0.00995643809437752,None,None,False,0.898671800270677
../PrefLib-Data/datasets/00053 - f1races/00053-00000092.soc,53,17,None,,False,0.000869203358888626,False,0.000808959826827049,False,0.341964423656464,False,0.362940475344658,None,None,False,1.01286622881889
../PrefLib-Data/datasets/00053 - f1races/00053-00000093.soc,44,15,None,,False,0.0012664720416069,False,0.00129649974405766,False,0.0353350527584553,False,0.0108411964029074,None,None,False,1.03307439945638
../PrefLib-Data/datasets/00053 - f1races/00053-00000094.soc,52,12,None,,False,0.000495186075568199,False,0.00047580897808075,False,0.085195355117321,False,0.0455526672303677,None,None,False,0.119814688339829
../PrefLib-Data/datasets/00053 - f1races/00053-00000095.soc,51,14,None,,False,0.00169479288160801,False,0.00171754509210587,False,0.0155076887458563,False,0.112206779420376,None,None,False,0.18412271514535
../PrefLib-Data/datasets/00053 - f1races/00053-00000096.soc,43,15,None,,False,0.00066397525370121,False,0.000648586079478264,False,0.07117741368711,False,0.0181201435625553,None,None,False,0.919999614357948
../PrefLib-Data/datasets/00053 - f1races/00053-00000097.soc,31,16,None,,False,0.00346599146723747,False,0.00352497212588787,False,0.847709992900491,False,0.228144535794854,None,None,False,1.99126123264432
../PrefLib-Data/datasets/00053 - f1races/00053-00000098.soc,48,18,None,,False,0.00180980935692787,False,0.00176870264112949,False,0.0398638639599085,False,0.462565118446946,None,None,False,1.03916187211871
../PrefLib-Data/datasets/00053 - f1races/00053-00000099.soc,44,17,None,,False,0.000809561461210251,False,0.000815069302916527,False,0.0188444349914789,False,0.0482228193432093,None,None,False,1.10472123511136
../PrefLib-Data/datasets/00053 - f1races/00053-00000100.soc,27,10,None,,False,0.000459006056189537,False,0.000435082241892815,False,0.143095288425684,False,0.00611210241913796,None,None,False,0.758751012384892
../PrefLib-Data/datasets/00053 - f1races/00053-00000101.soc,38,15,None,,False,0.00310121104121208,False,0.00310265459120274,False,0.120360082015395,False,0.0307095721364021,None,None,False,0.178158430382609
../PrefLib-Data/datasets/00053 - f1races/00053-00000102.soc,37,15,None,,False,0.00186492316424847,False,0.00182448700070381,False,0.136745302006602,False,0.0176233164966106,None,None,False,0.131413768976927
